handle,name,url,category,kind,languages,why,source_urls,source_methods,source_checked_at,notes
karpathy,Andrej Karpathy,https://x.com/karpathy,research,person,en,神经网络原理、模型训练与 AI 编程的长篇解释。,https://x.com/karpathy/with_replies,x-index,2026-09-13,
LangChainAI,LangChain,https://x.com/LangChainAI,infra,organization,en,Agent 框架、工具集成与工程教程。,https://x.com/LangChainAI/status/1873041238087352629,x-index,2026-09-13,
LatentSpacePod,Latent Space,https://x.com/LatentSpacePod,media,media,en,AI 工程师访谈、技术讨论与社区内容。,https://x.com/latentspacepod/status/2036174018747965657,x-index,2026-09-13,
leerob,Lee Robinson,https://x.com/leerob,coding,person,en,Web 工程、AI 开发工具与实践教程。,https://x.com/leerob/with_replies;https://x.com/leeerob/with_replies,x-index;owner-link,2026-09-13;2026-09-13,旧账号 @leeerob 的简介提示已迁移至 @leerob。
levelsio,Pieter Levels,https://x.com/levelsio,founders,person,en,独立开发、AI 产品构建与运营实践。,https://levels.io/i-dont-write-code-anymore,owner-link,2026-09-13,
lexfridman,Lex Fridman,https://x.com/lexfridman,media,person,en,科技研究者访谈与长篇技术对话。,https://x.com/lexfridman/status/1854239565935972380,x-index,2026-09-13,
lijigang,李继刚,https://x.com/lijigang,chinese,person,zh,提示词设计、语言表达与 AI 交互探索。,https://x.com/lijigang/status/1899302493852705043,x-index,2026-09-13,
llama_index,LlamaIndex,https://x.com/llama_index,infra,organization,en,检索增强、数据连接与 Agent 应用资料。,https://x.com/llama_index/status/2052056007954837865,x-index,2026-09-13,
mattshumer_,Matt Shumer,https://x.com/mattshumer_,coding,person,en,AI 工具应用、Agent 工作流与产品实验。,https://x.com/mattshumer_/status/2046284453123879421,x-index,2026-09-13,
MelMitchell1,Melanie Mitchell,https://x.com/MelMitchell1,research,person,en,AI 概念、类比推理与能力边界分析。,https://x.com/MelMitchell1/status/1920564159286071455,x-index,2026-09-13,存在历史帖子来源；近期发帖频率未核验。
MistralAI,Mistral AI,https://x.com/MistralAI,labs,organization,en,模型、开发接口与部署产品的官方发布。,https://x.com/MistralAI/with_replies,x-index,2026-09-13,
MIT_CSAIL,MIT CSAIL,https://x.com/MIT_CSAIL,labs,organization,en,计算机科学、AI 与机器人研究发布。,https://x.com/MIT_CSAIL/status/1609233205126627330,x-index,2026-09-13,
mntruell,Michael Truell,https://x.com/mntruell,coding,person,en,AI 编程编辑器与软件开发方式探索。,https://x.com/mntruell/with_replies,x-index,2026-09-13,
multimodalart,Apolinário Passos,https://x.com/multimodalart,creative,person,en,开源生成模型、创意 Demo 与社区项目。,https://x.com/multimodalart/with_replies,x-index,2026-09-13,
mustafasuleyman,Mustafa Suleyman,https://x.com/mustafasuleyman,founders,person,en,AI 产品、人机交互与产业观察。,https://x.com/mustafasuleyman/with_replies,x-index,2026-09-13,
natolambert,Nathan Lambert,https://x.com/natolambert,llm,person,en,模型后训练、偏好学习与开放模型研究。,https://x.com/natolambert/status/1931017013419520063,x-index,2026-09-13,
nutlope,Hassan El Mghari,https://x.com/nutlope,coding,person,en,开源 AI 应用、Web 示例与开发教程。,https://x.com/nutlope/status/2041199444855492790,x-index,2026-09-13,
NVIDIAAI,NVIDIA AI,https://x.com/NVIDIAAI,labs,organization,en,AI 计算、模型部署与开发工具。,https://www.nvidia.com/en-gb/contact/social/,owner-link,2026-09-13,
ollama,Ollama,https://x.com/ollama,infra,organization,en,本地模型运行工具、集成示例与发布信息。,https://x.com/ollama/status/2041610283152797818,x-index,2026-09-13,
omarsar0,Elvis Saravia,https://x.com/omarsar0,llm,person,en,提示工程、LLM 论文与开发学习资源。,https://x.com/omarsar0/status/2029992986113900871,x-index,2026-09-13,
op7418,歸藏,https://x.com/op7418,chinese,person,zh,AI 图像、视频与设计工作流的中文实践。,https://x.com/op7418/status/2034069787719176219?lang=en,x-index,2026-09-13,
OpenAI,OpenAI,https://x.com/OpenAI,labs,organization,en,模型、开发平台与研究工作的官方发布。,https://x.com/OpenAI/status/2041581000120267067,x-index,2026-09-13,
oran_ge,Orange AI,https://x.com/oran_ge,chinese,person,zh,AI 产品、创业与应用场景讨论。,https://x.com/oran_ge/with_replies,x-index,2026-09-13,
Physical_Int,Physical Intelligence,https://x.com/Physical_Int,robotics,organization,en,机器人基础模型与操作任务研究动态。,https://x.com/physical_int/with_replies,x-index,2026-09-13,
pika_labs,Pika,https://x.com/pika_labs,creative,organization,en,AI 视频创作工具与官方案例。,https://x.com/pika_labs/status/1955007670462853355,x-index,2026-09-13,
rasbt,Sebastian Raschka,https://x.com/rasbt,llm,person,en,用代码讲解大语言模型训练与机器学习方法。,https://x.com/rasbt/status/1684902178509504512,x-index,2026-09-13,
rauchg,Guillermo Rauch,https://x.com/rauchg,coding,person,en,Web 开发、AI 应用界面与开发平台。,https://x.com/rauchg/status/2041883605711122488,x-index,2026-09-13,
replicate,Replicate,https://x.com/replicate,creative,organization,en,模型运行 API、生成式应用与开发示例。,https://x.com/replicate/with_replies,x-index,2026-09-13,
runwayml,Runway,https://x.com/runwayml,creative,organization,en,视频生成、编辑与创作工具发布。,https://x.com/runwayml/status/1978540989925949532,x-index,2026-09-13,
sama,Sam Altman,https://x.com/sama,founders,person,en,AI 产品、产业发展与技术方向讨论。,https://x.com/sama/with_replies?lang=en,x-index,2026-09-13,
sarah_edo,Sarah Drasner,https://x.com/sarah_edo,coding,person,en,软件工程、开发体验与 AI 辅助开发讨论。,https://github.com/sdras,owner-link,2026-09-13,
saranormous,Sarah Guo,https://x.com/saranormous,founders,person,en,AI 创业、产品与产业访谈。,https://x.com/saranormous/with_replies,x-index,2026-09-13,
seb_ruder,Sebastian Ruder,https://x.com/seb_ruder,llm,person,en,自然语言处理、多语言模型与研究阅读。,https://twitter.com/seb_ruder/with_replies?lang=en,x-index,2026-09-13,
SerranoAcademy,Luis Serrano,https://x.com/SerranoAcademy,llm,person,en,以直观例子讲解机器学习与生成式 AI。,https://linktr.ee/luisgserrano,owner-link,2026-09-13,
sh_reya,Shreya Shankar,https://x.com/sh_reya,agents,person,en,数据系统、LLM 评测与人机协作研究。,https://x.com/sh_reya/status/1889000744982098087,x-index,2026-09-13,
shao__meng,meng shao,https://x.com/shao__meng,chinese,person,zh,LLM 论文、开发工具与 AI 产品资料。,https://x.com/shao__meng/status/1931557749877543325,x-index,2026-09-13,
simonw,Simon Willison,https://x.com/simonw,agents,person,en,LLM 工具实测、提示注入与软件工程记录。,https://x.com/simonw/with_replies,x-index,2026-09-13,
srush_nlp,Alexander Rush,https://x.com/srush_nlp,llm,person,en,自然语言处理、模型效率与研究工具。,https://x.com/srush_nlp/with_replies,x-index,2026-09-13,
StabilityAI,Stability AI,https://x.com/StabilityAI,labs,organization,en,开放生成模型、图像与媒体工具动态。,https://x.com/StabilityAI/with_replies,x-index,2026-09-13,
StanfordHAI,Stanford HAI,https://x.com/StanfordHAI,labs,organization,en,以人为本的 AI 研究与政策讨论。,https://x.com/StanfordHAI/with_replies,x-index,2026-09-13,
steipete,Peter Steinberger,https://x.com/steipete,coding,person,en,编码 Agent、开发工具和真实项目实践。,https://x.com/steipete/status/2026135884815306950,x-index,2026-09-13,
svlevine,Sergey Levine,https://x.com/svlevine,robotics,person,en,机器人控制、强化学习与学习型智能体。,https://x.com/svlevine/status/1665127336033894400,x-index,2026-09-13,
swyx,Shawn Wang,https://x.com/swyx,agents,person,en,AI 工程生态、Agent 实践与开发者访谈。,https://swyx.io/,owner-link,2026-09-13,
TechCrunch,TechCrunch,https://x.com/TechCrunch,media,media,en,科技公司、AI 产品与创业新闻。,https://x.com/TechCrunch/with_replies,x-index,2026-09-13,
Teknium,Teknium,https://x.com/Teknium,infra,person,en,开放模型、指令数据与模型训练实践。,https://github.com/teknium1,owner-link,2026-09-13,个人 GitHub 主页指向 @Teknium；旧资料中的 @Teknium1 不作为当前入口。
TheSequenceAI,The Sequence,https://x.com/TheSequenceAI,media,media,en,AI 研究、模型与技术趋势的内容整理。,https://thesequence.substack.com/p/follow-us-on-twitter,owner-link,2026-09-13,
TheTuringPost,Turing Post,https://x.com/TheTuringPost,media,media,en,机器学习研究与 AI 工程的解读通讯。,https://x.com/TheTuringPost/with_replies,x-index,2026-09-13,
Thom_Wolf,Thomas Wolf,https://x.com/Thom_Wolf,infra,person,en,开放模型、机器学习工具与研究生态。,https://x.com/Thom_Wolf/status/2041217780515565676,x-index,2026-09-13,
tibo_maker,Tibo,https://x.com/tibo_maker,founders,person,en,独立产品、AI 工具与开发过程分享。,https://x.com/tibo_maker/status/1953750606738309211,x-index,2026-09-13,
trq212,Thariq Shihipar,https://x.com/trq212,coding,person,en,AI 编程工具、交互设计与 Agent 使用经验。,https://www.linkedin.com/posts/thariqshihipar_thariq-trq212-on-x-activity-7386548104612757504-ACdH,owner-link,2026-09-13,
vista8,向阳乔木,https://x.com/vista8,chinese,person,zh,AI 产品体验、工作流与编程实践。,https://x.com/vista8/with_replies,x-index,2026-09-13,
vllm_project,vLLM,https://x.com/vllm_project,infra,organization,en,高吞吐模型服务、推理引擎与版本动态。,https://x.com/vllm_project/with_replies,x-index,2026-09-13,
xiaohu,小互,https://x.com/xiaohu,chinese,person,zh,AI 视频、创作工具与科技产品案例。,https://x.com/xiaohu/status/2042224444207480988,x-index,2026-09-13,
ylecun,Yann LeCun,https://x.com/ylecun,research,person,en,表示学习、世界模型与 AI 研究方向的讨论。,https://x.com/ylecun/status/2042347532043395226;https://yann.lecun.org/,x-index;owner-link,2026-09-13;2026-09-13,个人主页说明已减少在 X 原创发文，主要发布链接或转发；也可关注其个人网站。
